society,type,location,bedrooms,built-up area,furnishing,age,floor,total floors,monthly rent
other society,Residential Apartment,Bandra (West),2,800.0,Furnished,5 to 10 years old,2,6,11.350406535472453
other society,Residential Apartment,Khar West,2,1050.0,Furnished,1 to 5 years old,8,12,11.608235644774552
Gajra Bhoomi Symphony,Residential Apartment,Sector-20 Koparkhairane,2,1050.0,Unfurnished,1 to 5 years old,14,17,10.373491181781864
Crescent Bay,Residential Apartment,Parel,3,2275.0,Semifurnished,1 to 5 years old,40,41,11.918390573078392
Ashwini CHS,Residential Apartment,Tilak Nagar,1,550.0,Semifurnished,5 to 10 years old,4,7,10.203592144986466
Check,Residential Apartment,Evershine Nagar,2,1050.0,Semifurnished,10+ years old,3,6,10.203592144986466
Lodha Lakeshore Greens,Residential Apartment,Dombivli (East),1,501.0,Unfurnished,0 to 1 years old,2,19,8.699514748210191
Lake Homes,Residential Apartment,Powai,2,970.0,Furnished,5 to 10 years old,11,23,10.933106969717286
On Request,Residential Apartment,Wadala,2,1050.0,Furnished,1 to 5 years old,1,12,10.915088464214607
Chatrapati Shivaji Raje Complex,Residential Apartment,Ekta Nagar,1,460.0,Unfurnished,1 to 5 years old,6,24,9.51044496442652
On Reqeast,Residential Apartment,Hill Road,1,700.0,Furnished,1 to 5 years old,5,8,10.968198289528557
New Mek Tawer,Residential Apartment,Lower Parel West,1,750.0,Furnished,1 to 5 years old,8,18,11.082142548877775
Main Hill Road,Residential Apartment,Bandra (West),1,600.0,Furnished,5 to 10 years old,5,7,10.819778284410283
Ajmera Bhakti Park Sector 1 and 2,Residential Apartment,Wadala East,2,965.0,Semifurnished,5 to 10 years old,12,17,10.799575577092764
Lodha Golflinks,Residential Apartment,Dombivli (East),2,1500.0,Semifurnished,1 to 5 years old,3,7,10.043249494911286
Xyz,Residential Apartment,Sector 44 Seawoods,2,1000.0,Unfurnished,5 to 10 years old,1,4,9.798127036878302
Sundew CHS,Residential Apartment,Raheja Vihar,1,620.0,Unfurnished,5 to 10 years old,3,11,10.404262840448617
Odyssey CHS Mumbai,Residential Apartment,Wadala,1,585.0,Semifurnished,5 to 10 years old,6,14,10.404262840448617
Divine Varsha,Residential Apartment,Sector 19 Ulwe,2,1000.0,Unfurnished,1 to 5 years old,1,4,9.159047077588632
Hubtown Atul Hill Crest,Residential Apartment,Andheri (East),3,2200.0,Unfurnished,0 to 1 years old,10,22,10.924138299734526
Shrinath CHS,Residential Apartment,Sector-14 Koparkhairane,2,850.0,Unfurnished,5 to 10 years old,2,4,9.903487552536127
Kohinoor City Phase 2,Residential Apartment,Kurla (West),3,1514.0,Unfurnished,1 to 5 years old,5,10,11.225243392518447
On Request,Residential Apartment,Sector 17 Ulwe,2,1020.0,Unfurnished,0 to 1 years old,4,7,8.85366542803745
On Request,Residential Apartment,Vile Parle (West),4,3300.0,Semifurnished,10+ years old,1,3,11.695247021764184
Lodha New Cuffe Parade,Residential Apartment,Wadala,2,1431.0,Semifurnished,0 to 1 years old,5,41,11.002099841204238
On Request,Residential Apartment,Pali Hill,3,1700.0,Furnished,1 to 5 years old,7,10,11.512925464970229
New Monica Chs,Residential Apartment,Santacruz (East),1,750.0,Furnished,10+ years old,2,4,10.571316925111784
Lodha Lakeshore Greens,Residential Apartment,Dombivli (East),2,990.0,Unfurnished,0 to 1 years old,16,19,8.987196820661973
Hiranandani Princeton CHS,Residential Apartment,Hiranandani Gardens - Powai,1,600.0,Unfurnished,10+ years old,4,14,10.373491181781864
Hiranandani Gardens Cypress,Residential Apartment,Hiranandani Gardens - Powai,1,650.0,Furnished,1 to 5 years old,6,7,10.596634733096073
Grace Heritage,Residential Apartment,Bandra (West),1,350.0,Furnished,5 to 10 years old,7,7,10.596634733096073
Kanishka Chs Chembur,Residential Apartment,Chembur (East),2,1050.0,Furnished,1 to 5 years old,8,12,10.680516217076775
Ajmera Bhakti Park Sector 1 and 2,Residential Apartment,Wadala East,2,930.0,Furnished,10+ years old,13,17,10.668955394675699
Odyssey CHS Mumbai,Residential Apartment,Wadala,1,585.0,Furnished,10+ years old,12,14,10.645424897265505
Jai Shastri Nagar CHS,Residential Apartment,Mulund Colony,1,500.0,Semifurnished,10+ years old,0,4,9.740968623038354
Ajmera Aeon,Residential Apartment,Bhakti Park,2,1260.0,Semifurnished,0 to 1 years old,11,39,11.002099841204238
On Request,Residential Apartment,Wadala East,2,880.0,Furnished,10+ years old,2,7,10.645424897265505
Tanisha Apartment,Residential Apartment,Mahim (West),1,400.0,Furnished,10+ years old,2,7,10.46310334047155
Omkar Veda Exclusive,Residential Apartment,Parmanand Wadi,3,2000.0,Semifurnished,0 to 1 years old,20,35,11.512925464970229
Hubtown Atul Hill Crest,Residential Apartment,Andheri (East),3,1800.0,Unfurnished,0 to 1 years old,12,20,10.968198289528557
Universal Mashayakh Tower,Residential Apartment,Chincholi Bunder,2,860.0,Unfurnished,0 to 1 years old,11,21,10.373491181781864
